cod_subgrupo,nome_subgrupo,competencia,grupo_did,tratado,pos_2023,pos_2024,pos_2025,did_2023,did_2024,tempo,data,qtd_aprovada,valor_total_real,log_qtd
0301,Consultas/Atend.,2018-01,controle,0,0,0,0,0,0,1,2018-01-01,846639,326774706.65,13.649030853767606
0301,Consultas/Atend.,2018-02,controle,0,0,0,0,0,0,2,2018-02-01,853937,344531244.93,13.657613870603617
0301,Consultas/Atend.,2018-03,controle,0,0,0,0,0,0,3,2018-03-01,869025,359927762.99,13.675128323247593
0301,Consultas/Atend.,2018-04,controle,0,0,0,0,0,0,4,2018-04-01,889765,372138113.94,13.698713785790131
0301,Consultas/Atend.,2018-05,controle,0,0,0,0,0,0,5,2018-05-01,933199,369619722.31,13.746374819129413
0301,Consultas/Atend.,2018-06,controle,0,0,0,0,0,0,6,2018-06-01,941916,342829708.98,13.755672439273154
0301,Consultas/Atend.,2018-07,controle,0,0,0,0,0,0,7,2018-07-01,893988,379559005.7,13.703448749829395
0301,Consultas/Atend.,2018-08,controle,0,0,0,0,0,0,8,2018-08-01,852694,365211898.79,13.656157200985964
0301,Consultas/Atend.,2018-09,controle,0,0,0,0,0,0,9,2018-09-01,825445,315904806.13,13.623679125302612
0301,Consultas/Atend.,2018-10,controle,0,0,0,0,0,0,10,2018-10-01,874364,363496017.93,13.681253187595953
0301,Consultas/Atend.,2018-11,controle,0,0,0,0,0,0,11,2018-11-01,842520,321532765.69,13.644153866714035
0301,Consultas/Atend.,2018-12,controle,0,0,0,0,0,0,12,2018-12-01,834199,346806844.47,13.634228460744982
0301,Consultas/Atend.,2019-01,controle,0,0,0,0,0,0,13,2019-01-01,768729,322970860.13,13.552495081504274
0301,Consultas/Atend.,2019-02,controle,0,0,0,0,0,0,14,2019-02-01,853919,326117413.82,13.657592791567772
0301,Consultas/Atend.,2019-03,controle,0,0,0,0,0,0,15,2019-03-01,823350,311847924.21,13.62113787719572
0301,Consultas/Atend.,2019-04,controle,0,0,0,0,0,0,16,2019-04-01,939198,368644058.42,13.752782663319456
0301,Consultas/Atend.,2019-05,controle,0,0,0,0,0,0,17,2019-05-01,962218,354693473.88,13.776997354467
0301,Consultas/Atend.,2019-06,controle,0,0,0,0,0,0,18,2019-06-01,906936,365491681.4,13.717828266927391
0301,Consultas/Atend.,2019-07,controle,0,0,0,0,0,0,19,2019-07-01,865095,340896014.39,13.670595762414857
0301,Consultas/Atend.,2019-08,controle,0,0,0,0,0,0,20,2019-08-01,873244,332916237.93,13.679971436915498
0301,Consultas/Atend.,2019-09,controle,0,0,0,0,0,0,21,2019-09-01,890334,356167344.85,13.699353075380305
0301,Consultas/Atend.,2019-10,controle,0,0,0,0,0,0,22,2019-10-01,862064,307172677.69,13.667085952835421
0301,Consultas/Atend.,2019-11,controle,0,0,0,0,0,0,23,2019-11-01,827611,324916211.63,13.626299724506742
0301,Consultas/Atend.,2019-12,controle,0,0,0,0,0,0,24,2019-12-01,820732,284647894.07,13.61795312238661
0301,Consultas/Atend.,2020-01,controle,0,0,0,0,0,0,25,2020-01-01,825818,289318077.25,13.624130900161697
0301,Consultas/Atend.,2020-02,controle,0,0,0,0,0,0,26,2020-02-01,878326,318582818.52,13.685774240637308
0301,Consultas/Atend.,2020-03,controle,0,0,0,0,0,0,27,2020-03-01,488286,184467361.39,13.098658626717675
0301,Consultas/Atend.,2020-04,controle,0,0,0,0,0,0,28,2020-04-01,485681,186372862.7,13.093309367733573
0301,Consultas/Atend.,2020-05,controle,0,0,0,0,0,0,29,2020-05-01,522116,185018159.4,13.165646979680657
0301,Consultas/Atend.,2020-06,controle,0,0,0,0,0,0,30,2020-06-01,493900,177202875.85,13.110090371228024
0301,Consultas/Atend.,2020-07,controle,0,0,0,0,0,0,31,2020-07-01,707427,247815585.85,13.469391136536487
0301,Consultas/Atend.,2020-08,controle,0,0,0,0,0,0,32,2020-08-01,718097,278959756.78,13.484361328967111
0301,Consultas/Atend.,2020-09,controle,0,0,0,0,0,0,33,2020-09-01,662808,256327143.17,13.404242143199143
0301,Consultas/Atend.,2020-10,controle,0,0,0,0,0,0,34,2020-10-01,749943,258663982.3,13.527753816058132
0301,Consultas/Atend.,2020-11,controle,0,0,0,0,0,0,35,2020-11-01,713208,281313318.88,13.477529784072656
0301,Consultas/Atend.,2020-12,controle,0,0,0,0,0,0,36,2020-12-01,765242,286368585.17,13.54794870942835
0301,Consultas/Atend.,2021-01,controle,0,0,0,0,0,0,37,2021-01-01,691445,251976058.57,13.44654033593139
0301,Consultas/Atend.,2021-02,controle,0,0,0,0,0,0,38,2021-02-01,724608,253804900.71,13.493387478011853
0301,Consultas/Atend.,2021-03,controle,0,0,0,0,0,0,39,2021-03-01,725015,228678094.81,13.493949002558812
0301,Consultas/Atend.,2021-04,controle,0,0,0,0,0,0,40,2021-04-01,807470,300576473.37,13.601662420121357
0301,Consultas/Atend.,2021-05,controle,0,0,0,0,0,0,41,2021-05-01,823244,289355667.57,13.621009126730948
0301,Consultas/Atend.,2021-06,controle,0,0,0,0,0,0,42,2021-06-01,844775,284966292.78,13.646826782439678
0301,Consultas/Atend.,2021-07,controle,0,0,0,0,0,0,43,2021-07-01,988728,319458292.55,13.804175558900399
0301,Consultas/Atend.,2021-08,controle,0,0,0,0,0,0,44,2021-08-01,950391,328215435.11,13.764629810046673
0301,Consultas/Atend.,2021-09,controle,0,0,0,0,0,0,45,2021-09-01,921525,329823838.29,13.733786270561048
0301,Consultas/Atend.,2021-10,controle,0,0,0,0,0,0,46,2021-10-01,896290,273203698.26,13.706020416014217
0301,Consultas/Atend.,2021-11,controle,0,0,0,0,0,0,47,2021-11-01,894473,272117002.9,13.703991114990863
0301,Consultas/Atend.,2021-12,controle,0,0,0,0,0,0,48,2021-12-01,834096,286101246.42,13.634104981532191
0301,Consultas/Atend.,2022-01,controle,0,0,0,0,0,0,49,2022-01-01,894677,270010805.73,13.704219155985575
0301,Consultas/Atend.,2022-02,controle,0,0,0,0,0,0,50,2022-02-01,939343,279388798.98,13.752937038279507
0301,Consultas/Atend.,2022-03,controle,0,0,0,0,0,0,51,2022-03-01,936883,311358458.11,13.750314754197127
0301,Consultas/Atend.,2022-04,controle,0,0,0,0,0,0,52,2022-04-01,937712,308190952.21,13.751199211020692
0301,Consultas/Atend.,2022-05,controle,0,0,0,0,0,0,53,2022-05-01,938054,269629917.4,13.751563861663831
0301,Consultas/Atend.,2022-06,controle,0,0,0,0,0,0,54,2022-06-01,984979,306396918.44,13.800376615379557
0301,Consultas/Atend.,2022-07,controle,0,0,0,0,0,0,55,2022-07-01,974097,304164786.06,13.789267193579647
0301,Consultas/Atend.,2022-08,controle,0,0,0,0,0,0,56,2022-08-01,924947,277300996.23,13.737492798698156
0301,Consultas/Atend.,2022-09,controle,0,0,0,0,0,0,57,2022-09-01,896035,292495142.93,13.705735869721359
0301,Consultas/Atend.,2022-10,controle,0,0,0,0,0,0,58,2022-10-01,901417,278574739.25,13.711724357976518
